START,0
CACHE_SERVICE_LOCK_WAIT_2,0
CACHE_SERVICE_LOCK_WAIT_MAINTHREAD_2,0
CACHE_SERVICE_LOCK_WAIT_MAINTHREAD_NSCACHESERVICE_CLOSEALLSTREAMS,0
CACHE_SERVICE_LOCK_WAIT_MAINTHREAD_NSCACHESERVICE_ONPROFILESHUTDOWN,0
CACHE_SERVICE_LOCK_WAIT_MAINTHREAD_NSCACHESERVICE_SETDISKCACHECAPACITY,0
CERT_VALIDATION_HTTP_REQUEST_CANCELED_TIME,1044
CERT_VALIDATION_HTTP_REQUEST_SUCCEEDED_TIME,25
CHILD_PROCESS_LAUNCH_MS,5
COMPOSITE_FRAME_ROUNDTRIP_TIME,0
COMPOSITE_TIME,0
CONTENT_FRAME_TIME,88
CONTENT_FULL_PAINT_TIME,6
CONTENT_PROCESS_LAUNCH_MAINTHREAD_MS,34
CONTENT_PROCESS_LAUNCH_TOTAL_MS,51
CONTENT_PROCESS_SYNC_LAUNCH_MS,42
CYCLE_COLLECTOR,20
CYCLE_COLLECTOR_ASYNC_SNOW_WHITE_FREEING,0
CYCLE_COLLECTOR_FULL,20
CYCLE_COLLECTOR_WORKER,1
DNS_FAILED_LOOKUP_TIME,11
DNS_LOOKUP_TIME,7
DNS_NATIVE_LOOKUP_TIME,4
DNS_NATIVE_QUEUING,0
DNS_RENEWAL_TIME,2
FX_PAGE_LOAD_MS_2,6137
FX_REFRESH_DRIVER_CHROME_FRAME_DELAY_MS,0
FX_SESSION_RESTORE_COLLECT_ALL_WINDOWS_DATA_MS,0
FX_SESSION_RESTORE_COLLECT_DATA_MS,0
FX_SESSION_RESTORE_STARTUP_INIT_SESSION_MS,0
FX_SESSION_RESTORE_STARTUP_ONLOAD_INITIAL_WINDOW_MS,65
FX_SESSION_RESTORE_WRITE_FILE_MS,2
GC_BUDGET_MS,1
GC_MARK_GRAY_MS,1
GC_MARK_MS,27
GC_MARK_ROOTS_MS,0
GC_MAX_PAUSE_MS_2,31
GC_MS,62
